GO.ID,Term,Annotated,Significant,Expected,p.value,p.adj
GO:0048172,regulation of short-term neuronal synapt...,7,2,0.12,0.00603,0.746655882352941
GO:0006359,regulation of transcription by RNA polym...,7,2,0.12,0.00603,0.746655882352941
GO:0008586,imaginal disc-derived wing vein morphoge...,44,4,0.77,0.00713,0.8556825
GO:0008355,olfactory learning,45,4,0.79,0.00772,0.8556825
GO:0046339,diacylglycerol metabolic process,8,2,0.14,0.00795,0.8556825
GO:0016332,establishment or maintenance of polarity...,8,2,0.14,0.00795,0.8556825
GO:0007632,visual behavior,24,3,0.42,0.00813,0.8556825
GO:0070983,dendrite guidance,24,3,0.42,0.00813,0.8556825
GO:0046330,positive regulation of JNK cascade,25,3,0.44,0.00912,0.914171428571429
GO:2000331,regulation of terminal button organizati...,25,3,0.44,0.00912,0.914171428571429
GO:0008045,motor neuron axon guidance,75,5,1.31,0.00997,0.967343181818182
GO:0007602,phototransduction,57,4,1,0.01011,0.967343181818182
GO:0030866,cortical actin cytoskeleton organization,61,4,1.07,0.01124,1
GO:0007480,imaginal disc-derived leg morphogenesis,79,5,1.38,0.01232,1
GO:0045186,zonula adherens assembly,10,2,0.17,0.01248,1
GO:0008347,glial cell migration,29,3,0.51,0.01377,1
GO:0045185,maintenance of protein location,32,3,0.56,0.01499,1
GO:0070509,calcium ion import,11,2,0.19,0.01508,1
GO:0048010,vascular endothelial growth factor recep...,31,3,0.54,0.01651,1
GO:1901888,regulation of cell junction assembly,117,6,2.05,0.01721,1
GO:0018212,peptidyl-tyrosine modification,26,2,0.45,0.01743,1
GO:0030100,regulation of endocytosis,52,5,0.91,0.01749,1
GO:0061327,anterior Malpighian tubule development,12,2,0.21,0.01789,1
GO:0045175,basal protein localization,12,2,0.21,0.01789,1
GO:0007399,nervous system development,1109,41,19.39,0.01808,1
GO:0006812,cation transport,286,12,5,0.01983,1
GO:0048100,wing disc anterior/posterior pattern for...,13,2,0.23,0.02090,1
GO:0031532,actin cytoskeleton reorganization,34,3,0.59,0.02116,1
GO:0045887,positive regulation of synaptic assembly...,34,3,0.59,0.02116,1
GO:0006886,intracellular protein transport,360,10,6.3,0.02122,1
GO:0072002,Malpighian tubule development,66,5,1.15,0.02362,1
GO:0007417,central nervous system development,281,10,4.91,0.02581,1
GO:0045197,establishment or maintenance of epitheli...,31,4,0.54,0.02705,1
GO:0045807,positive regulation of endocytosis,35,3,0.61,0.02733,1
GO:0048499,synaptic vesicle membrane organization,15,2,0.26,0.02750,1
GO:0006869,lipid transport,70,5,1.22,0.02782,1
GO:0015718,monocarboxylic acid transport,23,3,0.4,0.03082,1
GO:0042461,photoreceptor cell development,111,3,1.94,0.03128,1
GO:0050877,nervous system process,563,24,9.84,0.03403,1
GO:0051668,localization within membrane,167,7,2.92,0.03410,1
GO:0008277,regulation of G protein-coupled receptor...,25,3,0.44,0.03438,1
GO:0051231,spindle elongation,11,2,0.19,0.03452,1
GO:1902275,regulation of chromatin organization,22,2,0.38,0.03455,1
GO:0035212,cell competition in a multicellular orga...,17,2,0.3,0.03482,1
GO:0045176,apical protein localization,17,2,0.3,0.03482,1
GO:0090175,regulation of establishment of planar po...,18,2,0.31,0.03873,1
GO:0007155,cell adhesion,211,10,3.69,0.03910,1
GO:0050808,synapse organization,293,13,5.12,0.04048,1
GO:0098609,cell-cell adhesion,127,7,2.22,0.04154,1
GO:0006727,ommochrome biosynthetic process,19,2,0.33,0.04280,1
GO:0007475,apposition of dorsal and ventral imagina...,20,2,0.35,0.04702,1
GO:0035099,hemocyte migration,20,2,0.35,0.04702,1
GO:0055085,transmembrane transport,586,20,10.25,0.04986,1
