GO.ID,Term,Annotated,Significant,Expected,p.value,p.adj
GO:0019933,cAMP-mediated signaling,12,2,0.28,0.03086,1
GO:0046621,negative regulation of organ growth,12,2,0.28,0.03086,1
GO:0007480,imaginal disc-derived leg morphogenesis,79,5,1.85,0.03091,1
GO:0008045,motor neuron axon guidance,75,5,1.76,0.03095,1
GO:0007349,cellularization,104,9,2.43,0.03151,1
GO:0030036,actin cytoskeleton organization,281,19,6.58,0.03438,1
GO:0051321,meiotic cell cycle,237,5,5.55,0.03650,1
GO:0007189,adenylate cyclase-activating G protein-c...,40,5,0.94,0.03749,1
GO:0016203,muscle attachment,41,5,0.96,0.03749,1
GO:0050821,protein stabilization,32,3,0.75,0.03816,1
GO:0048149,behavioral response to ethanol,55,4,1.29,0.03944,1
GO:0007619,courtship behavior,117,8,2.74,0.04021,1
GO:0006357,regulation of transcription by RNA polym...,624,27,14.61,0.04030,1
GO:0001941,postsynaptic membrane organization,14,2,0.33,0.04126,1
GO:0045666,positive regulation of neuron differenti...,14,2,0.33,0.04126,1
GO:0045433,male courtship behavior veined wing gen...,14,2,0.33,0.04126,1
GO:0042059,negative regulation of epidermal growth ...,33,3,0.77,0.04127,1
GO:0046777,protein autophosphorylation,42,4,0.98,0.04416,1
GO:0007443,Malpighian tubule morphogenesis,45,4,1.05,0.04419,1
GO:0001754,eye photoreceptor cell differentiation,184,9,4.31,0.04559,1
GO:0035265,organ growth,33,4,0.77,0.04586,1
GO:0031281,positive regulation of cyclase activity,8,3,0.19,0.04594,1
GO:1902275,regulation of chromatin organization,22,3,0.51,0.04599,1
GO:0009187,cyclic nucleotide metabolic process,31,3,0.73,0.04603,1
GO:0032233,positive regulation of actin filament bu...,7,2,0.16,0.04611,1
GO:2000369,regulation of clathrin-dependent endocyt...,8,2,0.19,0.04611,1
GO:0033559,unsaturated fatty acid metabolic process,13,2,0.3,0.04613,1
GO:0048512,circadian behavior,108,4,2.53,0.04617,1
GO:0045055,regulated exocytosis,69,3,1.62,0.04619,1
GO:0035249,synaptic transmission glutamatergic,25,4,0.59,0.04631,1
GO:0006506,GPI anchor biosynthetic process,35,3,0.82,0.04787,1
